model_year,milage,fuel_type,transmission,accident,clean_title,age,depreciation_constant
2022,9411,Others,Automatic,No,No,3,0.14173348818121512
2006,21000,Gasoline,Manual,No,Yes,19,0.04195359528502848
2014,106000,Gasoline,Manual,Yes,Yes,11,0.0948940609270862
2017,92728,Gasoline,Automatic,No,Yes,8,0.11535315119018541
2022,17000,Gasoline,Automatic,No,Yes,3,-0.006626028229490583
2014,78500,Gasoline,Automatic,Yes,Yes,11,0.12477130515122069
2012,7982,Gasoline,Automatic,Unknown,No,13,0.04068404936284802
2020,57785,Hybrid,Automatic,No,Yes,5,0.12305444261048586
2021,25997,Gasoline,Automatic,No,Yes,4,0.06234506183409327
2019,139116,Gasoline,Automatic,Yes,Yes,6,0.05595147707842671
2019,36700,Gasoline,Automatic,Yes,Yes,6,0.06864010074547498
1999,48054,Gasoline,Automatic,No,Yes,26,0.056959017692723345
2017,133598,Gasoline,Automatic,Yes,Yes,8,0.13426849886957634
2012,83000,Gasoline,Automatic,Yes,Yes,13,0.08032494056951701
2016,24881,Gasoline,Dual Shift,Yes,Yes,9,0.05258675767106799
1998,134000,Gasoline,Automatic,No,Yes,27,0.07025806664419308
2022,4590,Gasoline,Automatic,No,Yes,3,-0.09073279964890642
2009,73500,Gasoline,Automatic,Yes,Yes,16,0.10112681577116714
2018,29850,Gasoline,Automatic,No,Yes,7,0.10981488029742277
2016,83000,Gasoline,Automatic,No,Yes,9,0.13026536837801733
2012,80000,Gasoline,Automatic,No,Yes,13,0.07799856680960479
2018,117000,Gasoline,Automatic,No,Yes,7,0.17701043557809557
2021,59528,Gasoline,Automatic,No,Yes,4,0.0707592266394714
2021,100312,Gasoline,Automatic,No,No,4,0.10945069093769699
2014,15889,Gasoline,Automatic,No,Yes,11,0.06137284274565264
2015,89726,Gasoline,Automatic,No,Yes,10,0.13059651540759953
2012,128000,Gasoline,Automatic,No,Yes,13,0.10286842061657678
2023,16200,Gasoline,Automatic,No,Yes,2,0.07406980909123374
2018,29475,Gasoline,Automatic,No,Yes,7,0.0450711976551303
2017,78717,Gasoline,Automatic,No,Yes,8,0.09403141491206583
